POA_CODE_2016,RA_NAME_2016,Tot_P_P,STEM_Tot,P_Tot_Tot,STEM_Pct,Wkly_Hhd_Inc,Secondary_Tot_P,Secondary_Pct,Tec_Furt_Educ_inst_Tot_P,TAFE_Pct,Uni_other_Tert_Instit_Tot_P,Uni_Pct,Y12_Comp_Pct,Indigenous_Pct
POA0800,Outer Regional Australia,6464,1018,4513,22.557057389762907,2264,92,1.4232673267326732,119,1.8409653465346534,376,5.816831683168317,62.48937255568781,3.3570544554455446
POA0810,Outer Regional Australia,33302,3867,17749,21.78714293763029,2107,1934,5.807459011470782,463,1.3903068884751666,2220,6.666266290312894,58.72355457863956,6.516125157648189
POA0812,Outer Regional Australia,18873,2120,9013,23.521579940086543,2028,1319,6.9888200074180045,244,1.2928522227520798,808,4.2812483441954114,50.765523107456765,11.148201133894982
POA0820,Outer Regional Australia,19447,2527,11712,21.57616120218579,2341,938,4.823366071887695,293,1.5066591248007404,953,4.900498791587391,60.66016975793776,5.373579472412198
POA0822,Very Remote Australia,25560,1335,8094,16.493699036323203,1294,1856,7.261345852895149,195,0.7629107981220657,225,0.8802816901408451,25.55240162520176,69.85133020344288
POA0830,Outer Regional Australia,18207,2028,8441,24.02558938514394,2035,1171,6.431592244741034,301,1.6532103037293349,619,3.3997912890646456,44.91835800396765,13.687043444828912
POA0832,Outer Regional Australia,15570,1998,7377,27.08418056120374,2356,955,6.13359023763648,297,1.907514450867052,631,4.052665382145151,55.60550458715596,8.490687219010919
POA0835,Outer Regional Australia,5132,979,3469,28.221389449409052,2253,224,4.36477007014809,65,1.2665627435697584,94,1.8316445830085737,33.550561797752806,4.111457521434139
POA0836,Outer Regional Australia,7756,1142,3899,29.289561426006667,2422,515,6.640020629190304,119,1.5342960288808665,204,2.630221763795771,37.731239092495635,6.988138215575039
POA0850,Remote Australia,8138,754,4203,17.939566975969544,1751,466,5.726222659130007,93,1.1427869255345293,202,2.4821823543868273,35.19553072625698,23.494716146473333
POA0852,Very Remote Australia,8299,439,3057,14.360484134772653,1115,448,5.398240751897819,46,0.5542836486323653,58,0.6988793830581997,18.527564549895324,71.94842752138813
POA0870,Remote Australia,19628,1759,10369,16.96402738933359,1963,1194,6.083146525371918,320,1.6303240269003465,763,3.8873038516405134,50.16075016744809,15.987364988791523
POA0872,Very Remote Australia,15469,470,5529,8.500633025863628,1138,692,4.473463055142543,145,0.93735858814403,147,0.9502876721184305,18.876093168239674,78.95145128967613
POA0880,Very Remote Australia,5214,414,2393,17.30045967404931,2230,418,8.016877637130802,50,0.9589566551591868,97,1.8603759110088225,38.06561085972851,42.558496355964714
POA2315,Inner Regional Australia,14658,1807,7886,22.91402485417195,1124,794,5.4168372219948155,238,1.6236867239732569,319,2.1762859871742393,39.588688946015424,2.865329512893983
POA2316,Inner Regional Australia,5849,755,2996,25.20026702269693,1155,446,7.625235082920157,95,1.624209266541289,124,2.1200205163275774,34.80413258717176,2.75260728329629
POA2317,Inner Regional Australia,6244,739,3182,23.22438717787555,1043,352,5.637411915438821,89,1.4253683536194748,100,1.6015374759769379,36.2816238478133,2.8827674567584882
POA2318,Inner Regional Australia,12147,1710,5890,29.032258064516128,1598,870,7.162262286984441,213,1.7535193875030872,310,2.5520704700749155,38.53352416602444,4.74191158310694
POA2319,Inner Regional Australia,6684,824,3111,26.48666023786564,974,309,4.622980251346499,111,1.6606822262118492,98,1.4661879114302814,28.978444236176195,5.11669658886894
POA2325,Inner Regional Australia,28460,2969,12541,23.67434813810701,1105,1620,5.692199578355587,496,1.7427969079409698,468,1.6444132115249472,27.92313982011447,7.463106113843992
POA2330,Inner Regional Australia,20350,3112,9099,34.20156061105616,1639,1432,7.036855036855036,434,2.1326781326781328,430,2.113022113022113,34.18488280221227,5.886977886977887
POA2333,Inner Regional Australia,13647,1751,5581,31.374305679985664,1352,836,6.125888473657214,307,2.249578661976991,193,1.4142302337510075,30.458970792767733,8.969004176742141
POA2335,Inner Regional Australia,6156,921,2844,32.38396624472574,1758,442,7.179987004548408,110,1.7868745938921378,136,2.2092267706302793,35.89800939387162,4.74333983105913
POA2337,Inner Regional Australia,7891,950,3651,26.020268419611064,1351,491,6.222278545178051,155,1.964263084526676,116,1.4700291471296414,37.83059926347506,4.118616144975288
POA2340,Inner Regional Australia,49072,4580,22453,20.398165055894534,1224,3364,6.855233126834039,1005,2.0480110857515488,942,1.919628301271601,38.60648435601868,10.425497228562113
POA2350,Inner Regional Australia,25339,2769,13057,21.20701539404151,1229,2007,7.920596708630964,520,2.052172540352816,2342,9.24266940289672,55.84802837900365,6.902403409763606
POA2360,Outer Regional Australia,14529,1276,6148,20.754716981132077,973,924,6.359694404294858,273,1.8790006194507536,204,1.4040883749741895,32.87362538308996,8.562185972881823
POA2370,Outer Regional Australia,7687,642,3494,18.37435603892387,857,428,5.567841810849486,138,1.795238714713152,89,1.1577988812280473,30.11988832320578,6.322362430076753
POA2380,Outer Regional Australia,10392,1132,4441,25.489754559783833,1284,571,5.494611239414935,190,1.8283294842186297,158,1.5204003079291764,33.024965150171084,12.904157043879907
POA2390,Outer Regional Australia,8757,1013,3772,26.85577942735949,1320,482,5.504168094096151,147,1.6786570743405276,113,1.2903962544250314,34.513805522208884,11.031175059952039
POA2400,Outer Regional Australia,10084,882,4357,20.243286665136562,1284,471,4.670765569218564,162,1.60650535501785,154,1.5271717572391907,34.47419986936643,20.329234430781437
POA2422,Inner Regional Australia,5338,603,2401,25.11453561016243,887,289,5.414012738853503,69,1.29261895841139,52,0.9741476208317722,29.308350682396483,7.231172723866616
POA2428,Inner Regional Australia,24009,2297,11672,19.67957505140507,832,1168,4.864842350785122,445,1.8534716148111126,244,1.0162855595818234,29.338904641098342,5.114748635928193
POA2429,Inner Regional Australia,9717,998,4445,22.452193475815523,925,565,5.81455181640424,194,1.9965009776680045,121,1.245240300504271,29.607717041800644,4.980961202017084
POA2430,Inner Regional Australia,34018,3226,15692,20.558246240122354,913,2100,6.173202422247046,681,2.001881356928685,475,1.3963195955082603,31.44500092747171,7.731201128814157
POA2431,Outer Regional Australia,5133,544,2443,22.26770364306181,871,226,4.402883304110657,69,1.3442431326709527,52,1.0130527956360802,28.578024007386887,5.2016364699006425
POA2440,Inner Regional Australia,21819,1832,9960,18.393574297188756,905,1320,6.049773133507493,353,1.6178559970667767,278,1.2741188872083964,26.674074507281127,13.547825289884962
POA2443,Inner Regional Australia,8894,1048,4418,23.721140787686736,781,421,4.733528221272768,128,1.4391724758263997,91,1.023161682032831,27.276290006531678,3.6766359343377557
POA2444,Inner Regional Australia,46284,4309,23188,18.58288770053476,1076,2866,6.192204649554922,917,1.9812462189957654,1125,2.430645579465906,40.64385229270932,3.9171203871748337
POA2445,Inner Regional Australia,6466,745,3264,22.824754901960784,1131,499,7.71729044231364,120,1.8558614290133004,119,1.840395917104856,38.46305418719212,3.0621713578719456
POA2446,Inner Regional Australia,13330,1359,6189,21.958313136209405,1117,959,7.1942985746436605,316,2.3705926481620403,231,1.7329332333083272,32.88932419196866,5.63390847711928
POA2447,Outer Regional Australia,7178,749,3387,22.11396516090936,946,423,5.893006408470326,124,1.7275006965728614,104,1.4488715519643354,31.116974494283202,5.976595151852884
POA2448,Outer Regional Australia,9000,866,4365,19.83963344788087,783,471,5.233333333333333,147,1.6333333333333333,121,1.3444444444444446,31.81083265966047,7.855555555555555
POA2450,Inner Regional Australia,43894,4202,21767,19.304451692929664,1140,2751,6.267371394723653,1106,2.5197065658176516,1045,2.380735408028432,40.35955317663486,4.736410443340776
POA2452,Inner Regional Australia,15120,1315,7036,18.689596361569073,1016,977,6.461640211640212,344,2.2751322751322753,339,2.242063492063492,37.928395271706776,6.150793650793651
POA2454,Outer Regional Australia,7570,805,4043,19.91095720999258,1056,542,7.159841479524439,146,1.928665785997358,186,2.457067371202114,48.14943527367507,3.1968295904887714
POA2456,Inner Regional Australia,14749,1538,7096,21.674182638105975,1111,903,6.122448979591836,279,1.8916536714353516,292,1.9797952403552783,40.541709934233296,4.8884670147128615
POA2460,Inner Regional Australia,29216,2628,13067,20.11173184357542,948,1805,6.178121577217963,685,2.3446056955093098,403,1.379381161007667,30.24632256941422,7.434282584884994
POA2463,Inner Regional Australia,7545,805,3676,21.89880304678999,932,434,5.752153744201458,143,1.8952948972829688,99,1.312127236580517,32.228181374939055,5.87143803843605
POA2464,Inner Regional Australia,6738,671,3449,19.45491446796173,900,303,4.496883348174532,104,1.543484713564856,86,1.2763431285247848,36.156008432888264,4.229741763134461
POA2470,Inner Regional Australia,15225,1243,5926,20.9753628079649,960,1012,6.64696223316913,327,2.147783251231527,207,1.3596059113300492,26.444291609353506,7.829228243021347
POA2474,Inner Regional Australia,6332,585,2877,20.333680917622523,839,385,6.080227416298168,112,1.7687934301958308,104,1.6424510423246999,31.34122287968442,3.2849020846493997
POA2477,Inner Regional Australia,12203,1256,6188,20.297349709114414,1166,887,7.268704416946653,252,2.065065967385069,280,2.2945177415389657,42.6097972972973,3.6712283864623454
POA2478,Inner Regional Australia,28310,2609,14824,17.599838100377767,1140,1713,6.050865418580007,504,1.7802896503002472,708,2.5008830801836806,42.98795180722892,3.235605793006005
POA2480,Inner Regional Australia,44599,4272,22459,19.02132775279398,1069,2960,6.636920110316375,978,2.19287427969237,1838,4.121168636068074,42.36367275742758,4.867822148478665
POA2481,Inner Regional Australia,11769,935,7248,12.900110375275938,1319,537,4.562834565383635,200,1.699379726399864,358,3.0418897102557567,54.850631352017245,1.4104851729118872
POA2482,Inner Regional Australia,6280,565,3465,16.305916305916305,969,376,5.987261146496815,107,1.7038216560509554,126,2.0063694267515926,47.878172588832484,1.5605095541401275
POA2483,Inner Regional Australia,10609,1007,5789,17.39505959578511,1040,651,6.136299368460741,200,1.8851918182675087,268,2.5261570364784616,47.75747508305648,2.8560656046752757
POA2484,Inner Regional Australia,18872,1870,9323,20.057921269977474,1037,1181,6.257948283170835,363,1.9234845273420942,394,2.0877490462060195,37.94920291813023,2.9196693514200933
POA2533,Inner Regional Australia,15627,1958,8853,22.116796566135772,1510,1013,6.482370256607155,285,1.8237665578805913,545,3.487553593140078,50.32433731080324,1.6637870352594868
POA2534,Inner Regional Australia,5709,635,3270,19.418960244648318,1514,338,5.920476440707654,79,1.3837799964967594,228,3.9936941671045716,49.150297947472964,2.2595901208617972
POA2535,Inner Regional Australia,7338,896,4149,21.595565196432876,1114,284,3.8702643772145,88,1.1992368492777323,164,2.234941400926683,42.511763751419764,2.0986644862360317
POA2536,Inner Regional Australia,17716,1708,8755,19.50885208452313,963,952,5.373673515466245,250,1.4111537593136148,207,1.1684353127116731,35.50854465270121,6.192142695868141
POA2537,Inner Regional Australia,11812,1338,6305,21.221252973830293,948,678,5.739925499492042,180,1.5238740264138164,162,1.3714866237724348,40.46815905141572,4.334575008465967
POA2539,Inner Regional Australia,17979,1957,8935,21.902630106323446,900,979,5.4452416708382,257,1.4294454641526224,229,1.2737082151398855,34.7699199131261,3.287168363090272
POA2540,Inner Regional Australia,45121,5462,22491,24.285269663420923,1024,2574,5.704660800957425,719,1.5934930520156911,783,1.7353338800115246,33.587346838080094,5.879745573014782
POA2541,Inner Regional Australia,25641,2547,12030,21.17206982543641,971,1372,5.350805350805351,520,2.028002028002028,584,2.2776022776022775,33.291882212495025,8.697008697008696
POA2546,Outer Regional Australia,9121,1077,4900,21.979591836734695,848,380,4.166209845411688,102,1.118298432189453,105,1.1511895625479662,37.48069994853319,4.758250191864927
POA2548,Outer Regional Australia,7734,774,4111,18.82753587934809,1009,355,4.590121541246444,108,1.3964313421256789,116,1.499870700801655,41.090466037161136,1.8748383760020688
POA2550,Outer Regional Australia,15858,1776,7908,22.458270106221548,1018,996,6.280741581536133,227,1.4314541556312272,257,1.6206331189305083,39.24202446629887,3.279102030520873
POA2571,Inner Regional Australia,11850,1538,5664,27.153954802259886,2059,884,7.459915611814346,203,1.7130801687763713,357,3.0126582278481013,45.14153668399769,2.818565400843882
POA2573,Inner Regional Australia,5067,534,2239,23.849933005806164,1403,316,6.236431813696467,88,1.7367278468521807,128,2.5261495954213538,34.444736151220795,4.479968423130058
POA2574,Inner Regional Australia,5741,740,2527,29.28373565492679,1578,412,7.176450095802125,111,1.9334610695000871,122,2.1250653196307265,33.81978225619643,3.518550775126285
POA2575,Inner Regional Australia,15476,1687,7660,22.02349869451697,1381,1183,7.644094081157922,284,1.8350995089170328,341,2.2034117342982684,43.07381193124368,2.7978805892995604
POA2576,Inner Regional Australia,13431,1400,7554,18.533227429176595,1371,866,6.447770084133721,148,1.1019283746556474,328,2.442111533020624,55.85793357933579,0.9679100588191497
POA2577,Inner Regional Australia,15414,1734,7987,21.710279203706023,1312,1114,7.2271960555339305,267,1.732191514207863,325,2.1084728169196834,45.56296914095079,2.1863241209290254
POA2580,Inner Regional Australia,29224,2800,14122,19.82721994051834,1205,1710,5.851355050643307,607,2.077059950725431,617,2.1112784013139887,36.55414786532454,3.9419655078018065
POA2582,Inner Regional Australia,12442,1472,6164,23.880597014925375,1778,917,7.370197717408777,234,1.8807265712907892,365,2.933611959492043,52.16647052530224,2.8050152708567753
POA2590,Inner Regional Australia,7093,707,3095,22.84329563812601,910,357,5.033131256168053,125,1.7623008600028196,98,1.3816438742422106,31.66023166023166,5.582969124488932
POA2594,Inner Regional Australia,11672,1132,4782,23.67210372229193,983,790,6.768334475668266,225,1.9276901987662782,166,1.4222069910897874,32.178274250541435,4.095270733379027
POA2621,Inner Regional Australia,6056,779,3262,23.881054567749846,2457,487,8.041611624834875,120,1.9815059445178336,199,3.285997357992074,61.69590643274854,2.1136063408190227
POA2630,Inner Regional Australia,8691,1055,4451,23.70253875533588,1078,494,5.684040961914624,169,1.9445403290760557,175,2.013577263836152,39.63693539165237,3.095155908411
POA2640,Inner Regional Australia,36343,3581,18135,19.746346843121035,1313,2420,6.658778857001348,782,2.151721101725229,1380,3.7971548853974633,47.121763321206934,2.308560107861211
POA2641,Inner Regional Australia,15070,1403,6620,21.19335347432024,950,848,5.627073656270737,434,2.8798938287989384,336,2.229595222295952,32.81947603403252,3.84870603848706
POA2646,Inner Regional Australia,6758,805,2998,26.85123415610407,1027,396,5.859721811186741,130,1.9236460491269607,92,1.361349511689849,30.90096798212956,1.7016868896123114
POA2650,Inner Regional Australia,56974,5687,26614,21.36845269407079,1349,3927,6.8926176852599434,1377,2.416891915610629,2571,4.512584687752308,45.236772670462436,5.6868045073191285
POA2663,Inner Regional Australia,5186,385,2676,14.387144992526158,1101,233,4.492865406864635,84,1.6197454685692247,73,1.407635942923255,23.72070779531325,8.638642499035866
POA2666,Outer Regional Australia,5673,591,2285,25.86433260393873,1045,374,6.592631764498502,101,1.7803631235677773,73,1.2867971091133439,29.26829268292683,2.379693283976732
POA2680,Outer Regional Australia,23940,2205,9915,22.239031770045386,1334,1520,6.349206349206349,447,1.8671679197994988,358,1.495405179615706,35.56425381774078,4.895572263993317
POA2705,Outer Regional Australia,10153,1059,4247,24.935248410642807,1202,734,7.229390327981878,170,1.674381956072097,126,1.2410125086181425,29.823422487665542,5.72244656751699
POA2710,Inner Regional Australia,10123,1041,4485,23.210702341137125,1050,575,5.6801343475254376,163,1.6101946063419934,121,1.1952978366097007,32.328015952143566,3.9909117850439593
POA2720,Inner Regional Australia,8012,914,3590,25.459610027855152,1146,465,5.803794308537194,179,2.234148776834748,109,1.3604593110334497,30.895091434071222,4.331003494757863
POA2731,Inner Regional Australia,6410,636,2812,22.617354196301566,1148,372,5.803432137285491,86,1.3416536661466458,99,1.5444617784711387,34.679007483261124,3.7285491419656784
POA2758,Inner Regional Australia,8715,1162,4672,24.871575342465754,2032,673,7.722317842799771,196,2.248995983935743,278,3.1899024670109006,45.9737548464062,2.3407917383820998
POA2790,Inner Regional Australia,15767,1877,7483,25.083522651343046,975,839,5.3212405657385675,348,2.20714149806558,265,1.680725566055686,29.73419314249764,5.670070400202955
POA2794,Inner Regional Australia,10428,1017,4383,23.20328542094456,968,569,5.456463367855773,207,1.9850402761795167,140,1.3425393172228615,29.37046004842615,8.275795934023781
POA2795,Inner Regional Australia,42550,4390,21003,20.90177593677094,1310,3035,7.132784958871915,924,2.1715628672150413,2100,4.9353701527614575,43.94340203014457,5.327849588719154
POA2800,Inner Regional Australia,44993,4515,21330,21.167369901547115,1339,3042,6.761051719156313,1157,2.571511123952615,1377,3.0604760740559644,43.31938136373081,5.972040095125909
POA2820,Outer Regional Australia,7316,571,3512,16.25854214123007,893,402,5.494805904866047,113,1.5445598687807545,89,1.2165117550574085,25.95012897678418,24.015855658829963
POA2830,Inner Regional Australia,40291,3699,18465,20.032493907392364,1344,2532,6.284281849544564,1009,2.5042813531557915,863,2.141917549825023,40.59630763155297,14.37790077188454
POA2850,Inner Regional Australia,17644,2235,8385,26.65474060822898,1229,986,5.588301972341872,375,2.125368397188846,270,1.5302652459759691,36.60422242045792,5.355928360915892
POA2870,Outer Regional Australia,12042,1200,5242,22.89202594429607,1154,835,6.934064108952001,254,2.109284172064441,209,1.7355920943364889,33.2560706401766,9.226042185683442
POA2871,Outer Regional Australia,9349,909,3961,22.948750315576874,1065,657,7.027489571077121,155,1.657931329553963,129,1.3798267194352336,33.07020016915703,11.188362391699647
POA2880,Outer Regional Australia,18276,1735,7805,22.229340166559897,971,987,5.400525279054498,429,2.3473407747866055,269,1.471875683957102,25.735843926313642,8.393521558327862
POA3139,Inner Regional Australia,13718,1627,6375,25.521568627450982,1464,956,6.968945910482578,301,2.1941974048695143,291,2.1213004811196967,41.214980263791276,0.8893424697477766
POA3222,Inner Regional Australia,14960,1614,7386,21.852152721364742,1199,996,6.657754010695188,239,1.5975935828877006,411,2.7473262032085564,43.639002732240435,1.0093582887700534
POA3223,Inner Regional Australia,7397,835,3870,21.57622739018088,896,276,3.73124239556577,102,1.378937407056915,125,1.6898742733540624,35.01970055161544,0.9328105988914425
POA3226,Inner Regional Australia,14165,1420,7421,19.134887481471498,1432,908,6.410165901870808,230,1.6237204376985528,458,3.233321567243205,55.59996282182359,0.5930109424638192
POA3228,Inner Regional Australia,17939,1750,9523,18.376562007770662,1763,1304,7.269078543954513,257,1.432632811193489,653,3.6401137187134176,62.275083867032635,0.702380288756341
